Datetime,Tweet Id,Text,Username,Likes,Retweets
2023-03-31 22:53:01+00:00,1641936664577581057,@Imonaar So many questions. Why the mortuary only? But there are so many possibilities. Ever heard of the story where bank managers took advantage of a bank robbery to get away with pilferage? Expect such during these #Maandamano . Anything is possible.,DrGithuW,0,0
2023-03-31 20:58:00+00:00,1641907720822349833,@WanjikuHSC @USAmbKenya @RailaOdinga Okay let's not get there. We are happy with the #maandamano but not that Rwanda genocide thing.,simba_waTsavo,0,0
2023-03-31 20:55:08+00:00,1641907000446447616,#Maandamano 🏃🏃🏃,Lacaz_,0,0
2023-03-31 20:54:02+00:00,1641906722649571328,"The pictures elicited a range of responses, but one recurring query was why police would spray pink water on demonstrators.
#MaandamanoThursday 
#Maandamano #Raila https://t.co/kSEbbexdUe",news_gotta,0,0
2023-03-31 20:50:50+00:00,1641905917863002112,Same govt that is acting with impunity in violating article 37 is lecturing people about breaking the law. #Maandamano,MigeleSamuel,0,0
2023-03-31 20:47:06+00:00,1641904976506093569,"A police officer died as a result of injuries sustained during anti-government rallies in Kisumu County's Juakali region on Thursday.
#Kisumu #Azimio #Maandamano 
https://t.co/iwVdrJLfGZ",geeradioke,0,0
2023-03-31 20:34:47+00:00,1641901877024489473,"@WachiraKE_ @WachiraKE_,altho your observation is spot on, Kalonzo has no clue that  this is what it is. You give the Tseikiru man too much credit that he has not earned.Remember @Wavinya_Ndeti and @SenMutula, 2 bright  fellas stated that they've zero investment in these silly #maandamano.",Tim_Gitonga,3,0
2023-03-31 20:27:32+00:00,1641900054926733313,The U.S. has provided over $400 million in counter-terrorism “train and equip” support to Kenyan security bodies in the past decade. These newly emboldened forces are now readily available to violently suppress mass cost-of-living protests #maandamano  https://t.co/2MkaepKEgN,samar42,10,5
2023-03-31 20:10:44+00:00,1641895824648032272,"😂😂😂waoga hao
#Maandamano",Ethiopianantid1,0,0
2023-03-31 19:49:31+00:00,1641890485781266432,"Monday it shall occur not happen. Let there physician mix more colours. 
#Maandamano",joelkioko283,1,1
2023-03-31 19:38:27+00:00,1641887699433934857,Demonstrators realised police in Kenya do not care about nobody's property. The only instruction is to stop any demons whether peaceful or otherwise. Thieves have realised there's no police command what is there is bootlicking of politicians. Prepare for more looting #Maandamano,JoeMbaya,0,0
2023-03-31 19:25:38+00:00,1641884477969387520,"Nimepata mazi yangu na chupa ya ""nivea for men"" kwake nifanye nini guys? #Maandamano",NeshKiva,0,0
2023-03-31 19:24:15+00:00,1641884126620835841,https://t.co/nZqWeTPCC4 #MAANDAMANO,AnAfricann,0,0
2023-03-31 19:19:00+00:00,1641882805935144965,"Peace loving #Kenyans who own shops/ Supermarkets/ boutiques/vibandas / garages, why don't we arm ourselves in readiness to defend ourselves from looting, break- in, muggings by thugs, thieves and robbers on Monday.  #Maandamano in guise as peaceful protests by #RailaOdinga",Musymo,1,0
2023-03-31 19:15:22+00:00,1641881890780073996,"When Uhuru Kenyatta came to power 

Unga was 90/2kg
Petrol was 80/ltr
Sugar was 100/kg
Cooking oil was 120/ltr

When Kenyatta left power

Unga was 230/2kg
Petrol was 170/ltr
Sugar was 200/kg
C Oil was 350/ltr

Doesn't matter how cool he was
He fucked our economy up
#Maandamano",kelvinloki001,0,0
2023-03-31 19:13:26+00:00,1641881407856230407,"Dear Customer, following the review of the Central Bank Rate (CBR) by CBK from 8.75% to 9.50%, effective 01/04/23 KCB M-PESA Loan will be charged a fee of 8.85% up from 8.79%. 

#SiniLife
#Maandamano
#protests",_mutune_,0,0
2023-03-31 19:10:40+00:00,1641880711362760712,"@SirBashirOmar #Kenyans
Your enemies are your MPs ,senators, Governors and MCAs who defected and left you without representation. Wao wamekula na wameshiba, je Wewe?  They must resign and seek new mandate from the Mwananchi or removed.  @NAssemblyKE @Senate_KE @KenyaGovernors 
#Maandamano",uthukuze,1,1
2023-03-31 19:10:24+00:00,1641880643725414408,"@Asamoh_ @IG_NPS #Kenyans
Your enemies are your MPs ,senators, Governors and MCAs who defected and left you without representation. Wao wamekula na wameshiba, je Wewe?  They must resign and seek new mandate from the Mwananchi or removed.  @NAssemblyKE @Senate_KE @KenyaGovernors 
#Maandamano",uthukuze,0,1
2023-03-31 19:06:08+00:00,1641879566871416847,"#Kenyans
Your enemies are your MPs ,senators, Governors and MCAs who defected and left you without representation. Wao wamekula na wameshiba, je Wewe?  They must resign and seek new mandate from the Mwananchi or removed.  @NAssemblyKE @Senate_KE @KenyaGovernors 
#Maandamano https://t.co/82wdWblQGI",uthukuze,2,1
2023-03-31 19:05:39+00:00,1641879445605699585,"@JosephO47304549 @MamaMia_2003 #Kenyans
Your enemies are your MPs ,senators, Governors and MCAs who defected and left you without representation. Wao wamekula na wameshiba, je Wewe?  They must resign and seek new mandate from the Mwananchi or removed.  @NAssemblyKE @Senate_KE @KenyaGovernors 
#Maandamano",uthukuze,0,1
2023-03-31 19:02:29+00:00,1641878651393265672,"@NationAfrica #Kenyans
Your enemies are your MPs ,senators, Governors and MCAs who defected and left you without representation. Wao wamekula na wameshiba, je Wewe?  They must resign and seek new mandate from the Mwananchi or removed.  @NAssemblyKE @Senate_KE @KenyaGovernors 
#Maandamano https://t.co/49duRqHLRm",uthukuze,0,0
